task,model_family,model_size,parse_success_rate,sensitivity,specificity,accuracy,f1_score
therapy_engagement,qwen1.5,1.8b-it,0.9047619047619048,0.3928571428571428,0.5678571428571428,0.5095238095238095,0.3481012658227848
therapy_engagement,qwen1.5,4b-it,1.0,1.0,0.5107142857142857,0.6738095238095239,0.671462829736211
suicidal_ideation,qwen1.5,7b-it,0.7355555555555555,0.7644444444444445,0.5555555555555556,0.66,0.6921529175050302
therapy_engagement,qwen1.5,7b-it,1.0,0.8714285714285714,0.8928571428571429,0.8857142857142857,0.8356164383561644
therapy_request,qwen1.5,7b-it,0.8551282051282051,0.8615384615384616,0.6019230769230769,0.6884615384615385,0.6483357452966715
suicidal_ideation,qwen2,0.5b-it,0.9888888888888888,0.0044444444444444,0.9777777777777776,0.4911111111111111,0.0086580086580086
therapy_engagement,qwen2,0.5b-it,1.0,0.0142857142857142,0.9964285714285714,0.669047619047619,0.0279720279720279
therapy_request,qwen2,0.5b-it,0.823076923076923,0.0115384615384615,0.8153846153846154,0.5474358974358975,0.0167130919220055
suicidal_ideation,qwen2,1.5b-it,0.9888888888888888,0.0088888888888888,0.9777777777777776,0.4933333333333333,0.0172413793103448
therapy_engagement,qwen2,1.5b-it,1.0,0.0071428571428571,0.9714285714285714,0.65,0.0134228187919463
therapy_request,qwen2,1.5b-it,0.9987179487179488,0.7461538461538462,0.85,0.8153846153846154,0.7293233082706766
